Ref_Date,GEO,Geographical classification,FUEL,Vector,Coordinate,Value
1979/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.0
1979/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.2
1979/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.2
1979/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.3
1979/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.5
1979/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.5
1979/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.7
1979/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,26.9
1979/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,28.3
1979/10,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,28.6
1979/11,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,28.9
1979/12,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,29.6
1980/01,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,30.2
1980/02,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,30.2
1980/03,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,30.8
1980/04,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,31.1
1980/05,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,31.8
1980/06,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,31.8
1980/07,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,32.4
1980/08,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,32.7
1980/09,"St. John's, Newfoundland and Labrador",10001,Regular unleaded gasoline at full service filling stations,v735046,2.1,32.7
