Ref_Date,GEO,COMMODITY,Vector,Coordinate,Value
2000,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,100.0
2001,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,99.0
2002,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,97.0
2003,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,96.0
2004,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,95.0
2005,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,95.0
2006,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,93.0
2007,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,98.0
2008,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,97.0
2009,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,96.0
2010,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,95.0
2011,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,94.0
2012,"St. John's, Newfoundland and Labrador",All-items,v15939841,2.1,95.0
2000,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,108.0
2001,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,107.0
2002,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,107.0
2003,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,105.0
2004,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,104.0
2005,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,103.0
2006,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,101.0
2007,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,104.0
2008,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,105.0
2009,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,105.0
2010,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,104.0
2011,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,105.0
2012,"St. John's, Newfoundland and Labrador",Food,v15939842,2.2,105.0
2000,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,110.0
2001,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,109.0
2002,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,108.0
2003,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,108.0
2004,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,106.0
2005,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,105.0
2006,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,106.0
2007,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,105.0
2008,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,105.0
2009,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,104.0
2010,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,103.0
2011,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,104.0
2012,"St. John's, Newfoundland and Labrador",Food purchased from stores,v15939843,2.3,106.0
2000,"St. John's, Newfoundland and Labrador","Meat, poultry and fish",v15939844,2.4,102.0
2001,"St. John's, Newfoundland and Labrador","Meat, poultry and fish",v15939844,2.4,102.0
