InterCity,Latitude,Longitude
"St. John's, Newfoundland and Labrador",47.5675,-52.7072
"Charlottetown and Summerside, Prince Edward Island",46.24,-63.1399
"Halifax, Nova Scotia",44.67,-63.61
"Saint John, New Brunswick",45.2796,-66.0628
"Montréal, Quebec",45.5,-73.5667
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45.4214,-75.6919
"Toronto, Ontario",43.7,-79.4
"Winnipeg, Manitoba",49.8994,-97.1392
"Regina, Saskatchewan",50.4547,-104.6067
"Edmonton, Alberta",53.5333,-113.5
"Vancouver, British Columbia",49.25,-123.1
